Date,Close
8/28/2019 16:00:00,16.95
8/29/2019 16:00:00,16.38
8/30/2019 16:00:00,15.73
9/3/2019 16:00:00,15.07
9/4/2019 16:00:00,15.35
9/5/2019 16:00:00,16.14
9/6/2019 16:00:00,16.9
9/9/2019 16:00:00,19.47
9/10/2019 16:00:00,21.32
9/11/2019 16:00:00,22.76
9/12/2019 16:00:00,26.72
9/13/2019 16:00:00,24.93
9/16/2019 16:00:00,19.75
9/17/2019 16:00:00,17.6
9/18/2019 16:00:00,16.19
9/19/2019 16:00:00,15.57
9/20/2019 16:00:00,14.97
9/23/2019 16:00:00,11.19
9/24/2019 16:00:00,11.58
9/25/2019 16:00:00,12.25
9/26/2019 16:00:00,12.53
9/27/2019 16:00:00,11.23
9/30/2019 16:00:00,10.59
10/1/2019 16:00:00,9.61
10/2/2019 16:00:00,10.38
10/3/2019 16:00:00,10.36
10/4/2019 16:00:00,10.22
10/7/2019 16:00:00,11.22
10/8/2019 16:00:00,11.73
10/9/2019 16:00:00,10.69
10/10/2019 16:00:00,10.85
10/11/2019 16:00:00,10.67
10/14/2019 16:00:00,10.6
10/15/2019 16:00:00,11.07
10/16/2019 16:00:00,11.61
10/17/2019 16:00:00,11.31
10/18/2019 16:00:00,10.82
10/21/2019 16:00:00,11.11
10/22/2019 16:00:00,10.97
10/23/2019 16:00:00,10.91
10/24/2019 16:00:00,10.7
10/25/2019 16:00:00,11.29
10/28/2019 16:00:00,11
10/29/2019 16:00:00,10.49
10/30/2019 16:00:00,10.66
10/31/2019 16:00:00,10.53
11/1/2019 16:00:00,10.31
11/4/2019 16:00:00,10.22
11/5/2019 16:00:00,10.03
11/6/2019 16:00:00,10.01
11/7/2019 16:00:00,9.92
11/8/2019 16:00:00,9.7
11/11/2019 16:00:00,9.42
11/12/2019 16:00:00,7.78
11/13/2019 16:00:00,8.13
11/14/2019 16:00:00,8.19
11/15/2019 16:00:00,8.33
11/18/2019 16:00:00,8.1
11/19/2019 16:00:00,7.88
11/20/2019 16:00:00,7.92
11/21/2019 16:00:00,7.63
11/22/2019 16:00:00,7.57
11/25/2019 16:00:00,7.74
11/26/2019 16:00:00,7.77
11/27/2019 16:00:00,7.44
11/29/2019 13:00:00,7.59
12/2/2019 16:00:00,7.53
12/3/2019 16:00:00,7.5
12/4/2019 16:00:00,7.55
12/5/2019 16:00:00,7.26
12/6/2019 16:00:00,7.36
12/9/2019 16:00:00,7.2
12/10/2019 16:00:00,7.07
12/11/2019 16:00:00,7.14
12/12/2019 16:00:00,7.37
12/13/2019 16:00:00,7.14
12/16/2019 16:00:00,7.06
12/17/2019 16:00:00,7.03
12/18/2019 16:00:00,7.11
12/19/2019 16:00:00,7.17
12/20/2019 16:00:00,7.07
12/23/2019 16:00:00,7.02
12/24/2019 13:00:00,6.9
12/26/2019 16:00:00,6.7
12/27/2019 16:00:00,6.82
12/30/2019 16:00:00,6.93
12/31/2019 16:00:00,7.05
1/2/2020 16:00:00,7.04
1/3/2020 16:00:00,7.21
1/6/2020 16:00:00,8.2
1/7/2020 16:00:00,8.07
1/8/2020 16:00:00,7.89
1/9/2020 16:00:00,8.12
1/10/2020 16:00:00,8.14
1/13/2020 16:00:00,8
1/14/2020 16:00:00,8.81
1/15/2020 16:00:00,8.6
1/16/2020 16:00:00,8.54
1/17/2020 16:00:00,8.53
1/21/2020 16:00:00,9.01
1/22/2020 16:00:00,8.75
1/23/2020 16:00:00,8.28
1/24/2020 16:00:00,8.06
1/27/2020 16:00:00,7.82
1/28/2020 16:00:00,8.02
1/29/2020 16:00:00,8.27
1/30/2020 16:00:00,8.29
1/31/2020 16:00:00,8.12
2/3/2020 16:00:00,7.9
2/4/2020 16:00:00,7.9
2/5/2020 16:00:00,8
2/6/2020 16:00:00,8.41
2/7/2020 16:00:00,8.32
2/10/2020 16:00:00,8.27
2/11/2020 16:00:00,8.61
2/12/2020 16:00:00,9.18
2/13/2020 16:00:00,8.99
2/14/2020 16:00:00,9.03
2/18/2020 16:00:00,8.8
2/19/2020 16:00:00,9.01
2/20/2020 16:00:00,9.15
2/21/2020 16:00:00,9.26
2/24/2020 16:00:00,9.22
2/25/2020 16:00:00,7.84
2/26/2020 16:00:00,7.49
2/27/2020 16:00:00,6.9
2/28/2020 16:00:00,6.46
3/2/2020 16:00:00,6.06
3/3/2020 16:00:00,6.06
3/4/2020 16:00:00,6.38
3/5/2020 16:00:00,6.37
3/6/2020 16:00:00,5.98
3/9/2020 16:00:00,4.94
3/10/2020 16:00:00,5.28
3/11/2020 16:00:00,4.54
3/12/2020 16:00:00,3.41
3/13/2020 16:00:00,3.23
3/16/2020 16:00:00,2.65
3/17/2020 16:00:00,2.67
3/18/2020 16:00:00,3.17
3/19/2020 16:00:00,3.99
3/20/2020 16:00:00,3.76
3/23/2020 16:00:00,4.61
3/24/2020 16:00:00,5.8
3/25/2020 16:00:00,5.42
3/26/2020 16:00:00,4.97
3/27/2020 16:00:00,4.61
3/30/2020 16:00:00,4.25
3/31/2020 16:00:00,4.99
4/1/2020 16:00:00,4.53
4/2/2020 16:00:00,4.63
4/3/2020 16:00:00,4.91
4/6/2020 16:00:00,5.5
4/7/2020 16:00:00,5.33
4/8/2020 16:00:00,6.82
4/9/2020 16:00:00,7.44
4/13/2020 16:00:00,7.85
4/14/2020 16:00:00,8.71
4/15/2020 16:00:00,8.47
4/16/2020 16:00:00,9.11
4/17/2020 16:00:00,9.22
4/20/2020 16:00:00,10.27
4/21/2020 16:00:00,9.95
4/22/2020 16:00:00,8.8
4/23/2020 16:00:00,8.01
4/24/2020 16:00:00,9.92
4/27/2020 16:00:00,11.6
4/28/2020 16:00:00,12
4/29/2020 16:00:00,12.08
4/30/2020 16:00:00,12.62
5/1/2020 16:00:00,11.98
5/4/2020 16:00:00,13
5/5/2020 16:00:00,14.1
5/6/2020 16:00:00,16.25
5/7/2020 16:00:00,15.93
5/8/2020 16:00:00,16.13
5/11/2020 16:00:00,17.59
5/12/2020 16:00:00,17.87
5/13/2020 16:00:00,19.3
5/14/2020 16:00:00,18.62
5/15/2020 16:00:00,17.07
5/18/2020 16:00:00,15.19
5/19/2020 16:00:00,17.87
5/20/2020 16:00:00,18.54
5/21/2020 16:00:00,17.85
5/22/2020 16:00:00,17.6
5/26/2020 16:00:00,16.92
5/27/2020 16:00:00,16.86
5/28/2020 16:00:00,16.67
5/29/2020 16:00:00,18.37
